transcript_id	gene_id	filepath
ENST00000473358.1	ENSG00000243485.6	chr1/ENST00000473358.1_predictions.tsv
ENST00000417324.2	ENSG00000237613.3	chr1/ENST00000417324.2_predictions.tsv
ENST00000495576.1	ENSG00000239945.1	chr1/ENST00000495576.1_predictions.tsv
ENST00000493797.1	ENSG00000239906.1	chr1/ENST00000493797.1_predictions.tsv
ENST00000466557.7	ENSG00000310528.1	chr1/ENST00000466557.7_predictions.tsv
ENST00000496488.1	ENSG00000241599.1	chr1/ENST00000496488.1_predictions.tsv
ENST00000412666.1	ENSG00000236601.3	chr1/ENST00000412666.1_predictions.tsv
ENST00000450696.1	ENSG00000235146.3	chr1/ENST00000450696.1_predictions.tsv
ENST00000422528.1	ENSG00000229905.1	chr1/ENST00000422528.1_predictions.tsv
ENST00000429505.6	ENSG00000237491.11	chr1/ENST00000429505.6_predictions.tsv
ENST00000326734.3	ENSG00000177757.3	chr1/ENST00000326734.3_predictions.tsv
ENST00000445118.7	ENSG00000228794.13	chr1/ENST00000445118.7_predictions.tsv
ENST00000473798.3	ENSG00000225880.7	chr1/ENST00000473798.3_predictions.tsv
ENST00000446136.2	ENSG00000230368.3	chr1/ENST00000446136.2_predictions.tsv
ENST00000607769.1	ENSG00000272438.2	chr1/ENST00000607769.1_predictions.tsv
ENST00000417705.1	ENSG00000223764.3	chr1/ENST00000417705.1_predictions.tsv
ENST00000606034.1	ENSG00000272512.1	chr1/ENST00000606034.1_predictions.tsv
ENST00000458555.1	ENSG00000224969.1	chr1/ENST00000458555.1_predictions.tsv
ENST00000418300.1	ENSG00000242590.1	chr1/ENST00000418300.1_predictions.tsv
ENST00000442292.2	ENSG00000273443.2	chr1/ENST00000442292.2_predictions.tsv
ENST00000416774.1	ENSG00000223823.1	chr1/ENST00000416774.1_predictions.tsv
ENST00000606993.1	ENSG00000272141.1	chr1/ENST00000606993.1_predictions.tsv
ENST00000379317.1	ENSG00000205231.1	chr1/ENST00000379317.1_predictions.tsv
ENST00000565563.1	ENSG00000260179.1	chr1/ENST00000565563.1_predictions.tsv
ENST00000434139.1	ENSG00000230415.2	chr1/ENST00000434139.1_predictions.tsv
ENST00000444968.1	ENSG00000240731.1	chr1/ENST00000444968.1_predictions.tsv
ENST00000444362.3	ENSG00000224870.10	chr1/ENST00000444362.3_predictions.tsv
ENST00000607307.1	ENSG00000272455.1	chr1/ENST00000607307.1_predictions.tsv
ENST00000428932.1	ENSG00000225905.2	chr1/ENST00000428932.1_predictions.tsv
ENST00000430109.2	ENSG00000225285.2	chr1/ENST00000430109.2_predictions.tsv
ENST00000366221.4	ENSG00000215014.5	chr1/ENST00000366221.4_predictions.tsv
ENST00000607222.1	ENSG00000272106.1	chr1/ENST00000607222.1_predictions.tsv
ENST00000607013.2	ENSG00000272004.2	chr1/ENST00000607013.2_predictions.tsv
